Unnamed: 0,chromosome_id,accession,taxid,species_long_name,lineage,lineage_names,lineage_ranks,rank_dict,lineage_names_dict
10,NZ_LMVL02000008.1,GCF_001541345.2,373,ALL_Agrobacterium_vitis_strain_NCPPB_3554_NZ_LMVL02000008,"[1, 131567, 2, 1224, 28211, 356, 82115, 227290, 357, 373]","{1: 'root', 2: 'Bacteria', 356: 'Hyphomicrobiales', 357: 'Agrobacterium', 373: 'Agrobacterium vitis', 1224: 'Pseudomonadota', 28211: 'Alphaproteobacteria', 82115: 'Rhizobiaceae', 131567: 'cellular organisms', 227290: 'Rhizobium/Agrobacterium group'}","{1: 'no rank', 2: 'superkingdom', 356: 'order', 357: 'genus', 373: 'species', 1224: 'phylum', 28211: 'class', 82115: 'family', 131567: 'no rank', 227290: 'no rank'}","{'no rank': '227290', 'superkingdom': '2', 'order': '356', 'genus': '357', 'species': '373', 'phylum': '1224', 'class': '28211', 'family': '82115'}","{'1': 'root', '2': 'Bacteria', '356': 'Hyphomicrobiales', '357': 'Agrobacterium', '373': 'Agrobacterium vitis', '1224': 'Pseudomonadota', '28211': 'Alphaproteobacteria', '82115': 'Rhizobiaceae', '131567': 'cellular organisms', '227290': 'Rhizobium/Agrobacterium group'}"
11,NZ_STGT01000009.1,GCF_004912145.1,1850373,Rhizobium_rhizophilum_strain_7209_2_NZ_STGT01000009,"[1, 131567, 2, 1224, 28211, 356, 82115, 227290, 379, 1850373]","{1: 'root', 2: 'Bacteria', 356: 'Hyphomicrobiales', 379: 'Rhizobium', 1224: 'Pseudomonadota', 28211: 'Alphaproteobacteria', 82115: 'Rhizobiaceae', 131567: 'cellular organisms', 227290: 'Rhizobium/Agrobacterium group', 1850373: 'Rhizobium rhizophilum'}","{1: 'no rank', 2: 'superkingdom', 356: 'order', 379: 'genus', 1224: 'phylum', 28211: 'class', 82115: 'family', 131567: 'no rank', 227290: 'no rank', 1850373: 'species'}","{'no rank': '227290', 'superkingdom': '2', 'order': '356', 'genus': '379', 'phylum': '1224', 'class': '28211', 'family': '82115', 'species': '1850373'}","{'1': 'root', '2': 'Bacteria', '356': 'Hyphomicrobiales', '379': 'Rhizobium', '1224': 'Pseudomonadota', '28211': 'Alphaproteobacteria', '82115': 'Rhizobiaceae', '131567': 'cellular organisms', '227290': 'Rhizobium/Agrobacterium group', '1850373': 'Rhizobium rhizophilum'}"
12,NZ_CP020906.1,GCF_002119845.1,29449,ALL_Rhizobium_etli_strain_NXC12_NZ_CP020906,"[1, 131567, 2, 1224, 28211, 356, 82115, 227290, 379, 29449]","{1: 'root', 2: 'Bacteria', 356: 'Hyphomicrobiales', 379: 'Rhizobium', 1224: 'Pseudomonadota', 28211: 'Alphaproteobacteria', 29449: 'Rhizobium etli', 82115: 'Rhizobiaceae', 131567: 'cellular organisms', 227290: 'Rhizobium/Agrobacterium group'}","{1: 'no rank', 2: 'superkingdom', 356: 'order', 379: 'genus', 1224: 'phylum', 28211: 'class', 29449: 'species', 82115: 'family', 131567: 'no rank', 227290: 'no rank'}","{'no rank': '227290', 'superkingdom': '2', 'order': '356', 'genus': '379', 'phylum': '1224', 'class': '28211', 'species': '29449', 'family': '82115'}","{'1': 'root', '2': 'Bacteria', '356': 'Hyphomicrobiales', '379': 'Rhizobium', '1224': 'Pseudomonadota', '28211': 'Alphaproteobacteria', '29449': 'Rhizobium etli', '82115': 'Rhizobiaceae', '131567': 'cellular organisms', '227290': 'Rhizobium/Agrobacterium group'}"
13,NZ_CP013532.1,GCF_001664385.1,396,ALL_Rhizobium_phaseoli_strain_R650_NZ_CP013532,"[1, 131567, 2, 1224, 28211, 356, 82115, 227290, 379, 396]","{1: 'root', 2: 'Bacteria', 356: 'Hyphomicrobiales', 379: 'Rhizobium', 396: 'Rhizobium phaseoli', 1224: 'Pseudomonadota', 28211: 'Alphaproteobacteria', 82115: 'Rhizobiaceae', 131567: 'cellular organisms', 227290: 'Rhizobium/Agrobacterium group'}","{1: 'no rank', 2: 'superkingdom', 356: 'order', 379: 'genus', 396: 'species', 1224: 'phylum', 28211: 'class', 82115: 'family', 131567: 'no rank', 227290: 'no rank'}","{'no rank': '227290', 'superkingdom': '2', 'order': '356', 'genus': '379', 'species': '396', 'phylum': '1224', 'class': '28211', 'family': '82115'}","{'1': 'root', '2': 'Bacteria', '356': 'Hyphomicrobiales', '379': 'Rhizobium', '396': 'Rhizobium phaseoli', '1224': 'Pseudomonadota', '28211': 'Alphaproteobacteria', '82115': 'Rhizobiaceae', '131567': 'cellular organisms', '227290': 'Rhizobium/Agrobacterium group'}"
14,NZ_SILH01000009.1,GCF_004306555.1,384,ALL_Rhizobium_leguminosarum_strain_SM52_NZ_SILH01000009,"[1, 131567, 2, 1224, 28211, 356, 82115, 227290, 379, 384]","{1: 'root', 2: 'Bacteria', 356: 'Hyphomicrobiales', 379: 'Rhizobium', 384: 'Rhizobium leguminosarum', 1224: 'Pseudomonadota', 28211: 'Alphaproteobacteria', 82115: 'Rhizobiaceae', 131567: 'cellular organisms', 227290: 'Rhizobium/Agrobacterium group'}","{1: 'no rank', 2: 'superkingdom', 356: 'order', 379: 'genus', 384: 'species', 1224: 'phylum', 28211: 'class', 82115: 'family', 131567: 'no rank', 227290: 'no rank'}","{'no rank': '227290', 'superkingdom': '2', 'order': '356', 'genus': '379', 'species': '384', 'phylum': '1224', 'class': '28211', 'family': '82115'}","{'1': 'root', '2': 'Bacteria', '356': 'Hyphomicrobiales', '379': 'Rhizobium', '384': 'Rhizobium leguminosarum', '1224': 'Pseudomonadota', '28211': 'Alphaproteobacteria', '82115': 'Rhizobiaceae', '131567': 'cellular organisms', '227290': 'Rhizobium/Agrobacterium group'}"
15,NZ_HG916852.1,GCF_000577275.2,348824,ALL_Rhizobium_favelukesii_strain_LPU83_NZ_HG916852,"[1, 131567, 2, 1224, 28211, 356, 82115, 227290, 379, 348824]","{1: 'root', 2: 'Bacteria', 356: 'Hyphomicrobiales', 379: 'Rhizobium', 1224: 'Pseudomonadota', 28211: 'Alphaproteobacteria', 82115: 'Rhizobiaceae', 131567: 'cellular organisms', 227290: 'Rhizobium/Agrobacterium group', 348824: 'Rhizobium favelukesii'}","{1: 'no rank', 2: 'superkingdom', 356: 'order', 379: 'genus', 1224: 'phylum', 28211: 'class', 82115: 'family', 131567: 'no rank', 227290: 'no rank', 348824: 'species'}","{'no rank': '227290', 'superkingdom': '2', 'order': '356', 'genus': '379', 'phylum': '1224', 'class': '28211', 'family': '82115', 'species': '348824'}","{'1': 'root', '2': 'Bacteria', '356': 'Hyphomicrobiales', '379': 'Rhizobium', '1224': 'Pseudomonadota', '28211': 'Alphaproteobacteria', '82115': 'Rhizobiaceae', '131567': 'cellular organisms', '227290': 'Rhizobium/Agrobacterium group', '348824': 'Rhizobium favelukesii'}"
16,NZ_CP044123.1,GCF_016864595.1,359,ALL_Rhizobium_rhizogenes_strain_LBA9402_chromosome_1_NZ_CP044123,"[1, 131567, 2, 1224, 28211, 356, 82115, 227290, 379, 359]","{1: 'root', 2: 'Bacteria', 356: 'Hyphomicrobiales', 359: 'Rhizobium rhizogenes', 379: 'Rhizobium', 1224: 'Pseudomonadota', 28211: 'Alphaproteobacteria', 82115: 'Rhizobiaceae', 131567: 'cellular organisms', 227290: 'Rhizobium/Agrobacterium group'}","{1: 'no rank', 2: 'superkingdom', 356: 'order', 359: 'species', 379: 'genus', 1224: 'phylum', 28211: 'class', 82115: 'family', 131567: 'no rank', 227290: 'no rank'}","{'no rank': '227290', 'superkingdom': '2', 'order': '356', 'species': '359', 'genus': '379', 'phylum': '1224', 'class': '28211', 'family': '82115'}","{'1': 'root', '2': 'Bacteria', '356': 'Hyphomicrobiales', '359': 'Rhizobium rhizogenes', '379': 'Rhizobium', '1224': 'Pseudomonadota', '28211': 'Alphaproteobacteria', '82115': 'Rhizobiaceae', '131567': 'cellular organisms', '227290': 'Rhizobium/Agrobacterium group'}"
17,NZ_CP104158.1,GCF_025200735.1,398,ALL_Rhizobium_tropici_strain_CB3060_NZ_CP104158,"[1, 131567, 2, 1224, 28211, 356, 82115, 227290, 379, 398]","{1: 'root', 2: 'Bacteria', 356: 'Hyphomicrobiales', 379: 'Rhizobium', 398: 'Rhizobium tropici', 1224: 'Pseudomonadota', 28211: 'Alphaproteobacteria', 82115: 'Rhizobiaceae', 131567: 'cellular organisms', 227290: 'Rhizobium/Agrobacterium group'}","{1: 'no rank', 2: 'superkingdom', 356: 'order', 379: 'genus', 398: 'species', 1224: 'phylum', 28211: 'class', 82115: 'family', 131567: 'no rank', 227290: 'no rank'}","{'no rank': '227290', 'superkingdom': '2', 'order': '356', 'genus': '379', 'species': '398', 'phylum': '1224', 'class': '28211', 'family': '82115'}","{'1': 'root', '2': 'Bacteria', '356': 'Hyphomicrobiales', '379': 'Rhizobium', '398': 'Rhizobium tropici', '1224': 'Pseudomonadota', '28211': 'Alphaproteobacteria', '82115': 'Rhizobiaceae', '131567': 'cellular organisms', '227290': 'Rhizobium/Agrobacterium group'}"
18,NZ_CP021829.1,GCF_002197165.1,382,ALL_Sinorhizobium_meliloti_strain_HM006_NZ_CP021829,"[1, 131567, 2, 1224, 28211, 356, 82115, 227292, 28105, 382]","{1: 'root', 2: 'Bacteria', 356: 'Hyphomicrobiales', 382: 'Sinorhizobium meliloti', 1224: 'Pseudomonadota', 28105: 'Sinorhizobium', 28211: 'Alphaproteobacteria', 82115: 'Rhizobiaceae', 131567: 'cellular organisms', 227292: 'Sinorhizobium/Ensifer group'}","{1: 'no rank', 2: 'superkingdom', 356: 'order', 382: 'species', 1224: 'phylum', 28105: 'genus', 28211: 'class', 82115: 'family', 131567: 'no rank', 227292: 'no rank'}","{'no rank': '227292', 'superkingdom': '2', 'order': '356', 'species': '382', 'phylum': '1224', 'genus': '28105', 'class': '28211', 'family': '82115'}","{'1': 'root', '2': 'Bacteria', '356': 'Hyphomicrobiales', '382': 'Sinorhizobium meliloti', '1224': 'Pseudomonadota', '28105': 'Sinorhizobium', '28211': 'Alphaproteobacteria', '82115': 'Rhizobiaceae', '131567': 'cellular organisms', '227292': 'Sinorhizobium/Ensifer group'}"
19,NZ_VITA01000068.1,GCF_007827695.1,110321,Sinorhizobium_medicae_strain_USDA1037_NZ_VITA01000068,"[1, 131567, 2, 1224, 28211, 356, 82115, 227292, 28105, 110321]","{1: 'root', 2: 'Bacteria', 356: 'Hyphomicrobiales', 1224: 'Pseudomonadota', 28105: 'Sinorhizobium', 28211: 'Alphaproteobacteria', 82115: 'Rhizobiaceae', 110321: 'Sinorhizobium medicae', 131567: 'cellular organisms', 227292: 'Sinorhizobium/Ensifer group'}","{1: 'no rank', 2: 'superkingdom', 356: 'order', 1224: 'phylum', 28105: 'genus', 28211: 'class', 82115: 'family', 110321: 'species', 131567: 'no rank', 227292: 'no rank'}","{'no rank': '227292', 'superkingdom': '2', 'order': '356', 'phylum': '1224', 'genus': '28105', 'class': '28211', 'family': '82115', 'species': '110321'}","{'1': 'root', '2': 'Bacteria', '356': 'Hyphomicrobiales', '1224': 'Pseudomonadota', '28105': 'Sinorhizobium', '28211': 'Alphaproteobacteria', '82115': 'Rhizobiaceae', '110321': 'Sinorhizobium medicae', '131567': 'cellular organisms', '227292': 'Sinorhizobium/Ensifer group'}"
20,NZ_OX341517.1,GCF_946995915.1,83265,ALL_Aminobacter_niigataensis_strain_MD1_chromosome_AMD1_NZ_OX341517,"[1, 131567, 2, 1224, 28211, 356, 69277, 31988, 83265]","{1: 'root', 2: 'Bacteria', 356: 'Hyphomicrobiales', 1224: 'Pseudomonadota', 28211: 'Alphaproteobacteria', 31988: 'Aminobacter', 69277: 'Phyllobacteriaceae', 83265: 'Aminobacter niigataensis', 131567: 'cellular organisms'}","{1: 'no rank', 2: 'superkingdom', 356: 'order', 1224: 'phylum', 28211: 'class', 31988: 'genus', 69277: 'family', 83265: 'species', 131567: 'no rank'}","{'no rank': '131567', 'superkingdom': '2', 'order': '356', 'phylum': '1224', 'class': '28211', 'genus': '31988', 'family': '69277', 'species': '83265'}","{'1': 'root', '2': 'Bacteria', '356': 'Hyphomicrobiales', '1224': 'Pseudomonadota', '28211': 'Alphaproteobacteria', '31988': 'Aminobacter', '69277': 'Phyllobacteriaceae', '83265': 'Aminobacter niigataensis', '131567': 'cellular organisms'}"
21,NZ_CP114190.1,GCF_025628925.2,2979870,ALL_Aminobacter_sp_NyZ550_NZ_CP114190,"[1, 131567, 2, 1224, 28211, 356, 69277, 31988, 2644704, 2979870]","{1: 'root', 2: 'Bacteria', 356: 'Hyphomicrobiales', 1224: 'Pseudomonadota', 28211: 'Alphaproteobacteria', 31988: 'Aminobacter', 69277: 'Phyllobacteriaceae', 131567: 'cellular organisms', 2644704: 'unclassified Aminobacter', 2979870: 'Aminobacter sp. NyZ550'}","{1: 'no rank', 2: 'superkingdom', 356: 'order', 1224: 'phylum', 28211: 'class', 31988: 'genus', 69277: 'family', 131567: 'no rank', 2644704: 'no rank', 2979870: 'species'}","{'no rank': '2644704', 'superkingdom': '2', 'order': '356', 'phylum': '1224', 'class': '28211', 'genus': '31988', 'family': '69277', 'species': '2979870'}","{'1': 'root', '2': 'Bacteria', '356': 'Hyphomicrobiales', '1224': 'Pseudomonadota', '28211': 'Alphaproteobacteria', '31988': 'Aminobacter', '69277': 'Phyllobacteriaceae', '131567': 'cellular organisms', '2644704': 'unclassified Aminobacter', '2979870': 'Aminobacter sp. NyZ550'}"
22,NZ_CP139858.1,GCF_034421895.1,28104,ALL_Mesorhizobium_huakuii_strain_NZP2235_NZ_CP139858,"[1, 131567, 2, 1224, 28211, 356, 69277, 68287, 28104]","{1: 'root', 2: 'Bacteria', 356: 'Hyphomicrobiales', 1224: 'Pseudomonadota', 28104: 'Mesorhizobium huakuii', 28211: 'Alphaproteobacteria', 68287: 'Mesorhizobium', 69277: 'Phyllobacteriaceae', 131567: 'cellular organisms'}","{1: 'no rank', 2: 'superkingdom', 356: 'order', 1224: 'phylum', 28104: 'species', 28211: 'class', 68287: 'genus', 69277: 'family', 131567: 'no rank'}","{'no rank': '131567', 'superkingdom': '2', 'order': '356', 'phylum': '1224', 'species': '28104', 'class': '28211', 'genus': '68287', 'family': '69277'}","{'1': 'root', '2': 'Bacteria', '356': 'Hyphomicrobiales', '1224': 'Pseudomonadota', '28104': 'Mesorhizobium huakuii', '28211': 'Alphaproteobacteria', '68287': 'Mesorhizobium', '69277': 'Phyllobacteriaceae', '131567': 'cellular organisms'}"
23,NZ_CP052770.1,GCF_012972145.1,2066070,Mesorhizobium_japonicum_strain_R7ANSstar_NZ_CP052770,"[1, 131567, 2, 1224, 28211, 356, 69277, 68287, 2066070]","{1: 'root', 2: 'Bacteria', 356: 'Hyphomicrobiales', 1224: 'Pseudomonadota', 28211: 'Alphaproteobacteria', 68287: 'Mesorhizobium', 69277: 'Phyllobacteriaceae', 131567: 'cellular organisms', 2066070: 'Mesorhizobium japonicum'}","{1: 'no rank', 2: 'superkingdom', 356: 'order', 1224: 'phylum', 28211: 'class', 68287: 'genus', 69277: 'family', 131567: 'no rank', 2066070: 'species'}","{'no rank': '131567', 'superkingdom': '2', 'order': '356', 'phylum': '1224', 'class': '28211', 'genus': '68287', 'family': '69277', 'species': '2066070'}","{'1': 'root', '2': 'Bacteria', '356': 'Hyphomicrobiales', '1224': 'Pseudomonadota', '28211': 'Alphaproteobacteria', '68287': 'Mesorhizobium', '69277': 'Phyllobacteriaceae', '131567': 'cellular organisms', '2066070': 'Mesorhizobium japonicum'}"
24,NZ_QGGH01000052.1,GCF_003148495.1,381,Mesorhizobium_loti_strain_DSM_2626_NZ_QGGH01000052,"[1, 131567, 2, 1224, 28211, 356, 69277, 68287, 381]","{1: 'root', 2: 'Bacteria', 356: 'Hyphomicrobiales', 381: 'Mesorhizobium loti', 1224: 'Pseudomonadota', 28211: 'Alphaproteobacteria', 68287: 'Mesorhizobium', 69277: 'Phyllobacteriaceae', 131567: 'cellular organisms'}","{1: 'no rank', 2: 'superkingdom', 356: 'order', 381: 'species', 1224: 'phylum', 28211: 'class', 68287: 'genus', 69277: 'family', 131567: 'no rank'}","{'no rank': '131567', 'superkingdom': '2', 'order': '356', 'species': '381', 'phylum': '1224', 'class': '28211', 'genus': '68287', 'family': '69277'}","{'1': 'root', '2': 'Bacteria', '356': 'Hyphomicrobiales', '381': 'Mesorhizobium loti', '1224': 'Pseudomonadota', '28211': 'Alphaproteobacteria', '68287': 'Mesorhizobium', '69277': 'Phyllobacteriaceae', '131567': 'cellular organisms'}"
